Ciudad,Población,Semana,Max_Campus,WBE_Dato,% Ed Muestreados,% Ed Positivos,Retail_Recreation,Grocery_Pharmacy,Parks,Public_transport,Workplaces,Residential,AVG_Mobility,Casos diarios,Ola,Pred_1_S,Pred_2_S
MTY,"5,322,117",74,551897.1429,0,0.659574468,0.4839,5.285714286,36.14285714,-6.571428571,14.71428571,13,3.142857143,10.95238095,131.7142857,0,1,1
MTY,"5,322,117",75,1012842.857,0,0.680851064,0.6875,10,42.85714286,-2.428571429,14.28571429,13.71428571,2.285714286,13.45238095,210,1,1,1
MTY,"5,322,117",76,623511.4286,0,0.659574468,0.1613,7.428571429,40,-1.571428571,12.71428571,13,2.857142857,12.4047619,345.4285714,1,1,1
MTY,"5,322,117",77,450715.7143,0,0.680851064,0.7188,10,43,-0.142857143,13.42857143,12.42857143,2.714285714,13.57142857,530.5714286,1,1,1
MTY,"5,322,117",78,32237.14286,16094.14286,0.659574468,0.3226,6.142857143,40,0.428571429,11.85714286,11.28571429,3.285714286,12.16666667,619,1,0,0
CDMX,21804515,7,293436.5714,#N/A,0.5,0.166666667,-46.42857143,-11.85714286,-48,-43.42857143,-33,15.71428571,-27.83333333,2577.285714,1,1,1
CDMX,21804515,8,52190,#N/A,0.5,0.333333333,-42,-7.285714286,-44.28571429,-39.57142857,-30.57142857,14.71428571,-24.83333333,2157.857143,1,1,1
CDMX,21804515,9,44190,#N/A,0.5,0.166666667,-41.57142857,-6.428571429,-43.14285714,-38.14285714,-29.42857143,14.28571429,-24.07142857,2195.285714,1,1,1
CDMX,21804515,10,3429,#N/A,0.5,0.166666667,-39.42857143,-3.285714286,-41.71428571,-35.85714286,-28.71428571,13.71428571,-22.54761905,2081.428571,1,1,1
CDMX,21804515,11,153524,#N/A,0.5,0.166666667,-38.71428571,-3.714285714,-40,-34.57142857,-28.28571429,13.71428571,-21.92857143,1679.571429,1,1,1
CDMX,21804515,12,0,#N/A,0.5,0,-38.14285714,-3,-39.42857143,-35,-30.71428571,13.85714286,-22.07142857,1402.857143,1,1,1
CDMX,21804515,13,19810,#N/A,0.5,0.166666667,-36.85714286,-2.285714286,-37.85714286,-31.85714286,-26,13,-20.30952381,1374.285714,1,0,1
CDMX,21804515,14,0,#N/A,0,0,-37.57142857,-1.571428571,-39.85714286,-37.71428571,-36.71428571,13.57142857,-23.30952381,914.7142857,0,1,1
CDMX,21804515,15,0,#N/A,0.5,0,-37,-2.571428571,-39.28571429,-31.57142857,-26.28571429,12.28571429,-20.73809524,1166.142857,1,1,1
CDMX,21804515,16,0,#N/A,0.5,0,-34.28571429,0.571428571,-36.57142857,-29.85714286,-24.14285714,12.42857143,-18.64285714,1001.857143,1,0,0
CDMX,21804515,17,0,#N/A,0.5,0,-33.42857143,1.428571429,-34.71428571,-28.28571429,-23,12.42857143,-17.5952381,854,0,0,0
CDMX,21804515,18,0,#N/A,0.5,0,-30.71428571,4.857142857,-34.57142857,-27.14285714,-24.14285714,11.85714286,-16.64285714,694.4285714,0,0,0
CDMX,21804515,19,0,#N/A,0.5,0,-29,6.857142857,-33.57142857,-25.14285714,-22,11.28571429,-15.26190476,560.5714286,0,0,0
CDMX,21804515,20,0,#N/A,0.5,0,-27.28571429,8,-34.71428571,-23.71428571,-21.42857143,11,-14.69047619,457,0,0,0
CDMX,21804515,21,0,#N/A,0.5,0,-26,10.28571429,-29.85714286,-20.42857143,-18.57142857,11.14285714,-12.23809524,476.2857143,0,0,0
CDMX,21804515,22,0,#N/A,0.5,0,-25,9.428571429,-28.57142857,-20,-17.28571429,11,-11.73809524,511.1428571,0,0,0
CDMX,21804515,23,0,5721.3,0.5,0,-22.42857143,13.14285714,-28,-18.57142857,-16.28571429,11.14285714,-10.16666667,525.8571429,0,0,0
CDMX,21804515,24,0,754.38,0.5,0,-22.85714286,13.14285714,-28.14285714,-17.85714286,-15.42857143,11.14285714,-10,683.8571429,0,0,1
CDMX,21804515,25,0,5375.61,0.5,0,-21.85714286,13.14285714,-30.42857143,-17.14285714,-16.57142857,10.28571429,-10.42857143,836,0,1,1
CDMX,21804515,26,0,#N/A,0.5,0,-23.71428571,9.285714286,-29.71428571,-18.85714286,-16.85714286,10.28571429,-11.5952381,1250.571429,1,1,1
CDMX,21804515,27,0,#N/A,0.5,0,-22.57142857,11.42857143,-34,-18.42857143,-17.14285714,10.28571429,-11.73809524,1748.857143,1,1,1
CDMX,21804515,28,0,#N/A,0.5,0,-21,14,-26.85714286,-16.28571429,-16.42857143,10.71428571,-9.30952381,2779,1,1,1
CDMX,21804515,29,0,#N/A,0.5,0,-21.14285714,15.28571429,-25.28571429,-16.71428571,-16.57142857,10.42857143,-9,3682.857143,1,1,1
CDMX,21804515,30,0,#N/A,0.5,0,-21.85714286,13.42857143,-26.42857143,-18,-17.85714286,11.14285714,-9.928571429,4307.428571,1,1,1
CDMX,21804515,31,317714,20734.02,0.5,0.166666667,-22.57142857,12.57142857,-29.71428571,-18.57142857,-17.85714286,11.57142857,-10.76190476,4544.285714,1,1,1
CDMX,21804515,32,5448,19267.17,0.5,0.333333333,-21.42857143,15,-28.14285714,-18.14285714,-16.71428571,11.42857143,-9.666666667,4325.285714,1,1,1
CDMX,21804515,33,838,#N/A,0.5,0.166666667,-22,13.71428571,-27.71428571,-18.57142857,-17.14285714,11.71428571,-10,4083.571429,1,1,1
CDMX,21804515,34,0,#N/A,0.5,0,-21.85714286,14.42857143,-26.57142857,-19.57142857,-16.42857143,11.85714286,-9.69047619,3219.714286,1,1,1
CDMX,21804515,35,215486,#N/A,0.666666667,0.166666667,-21,14.14285714,-25.28571429,-18,-14.57142857,11.42857143,-8.880952381,2738.142857,1,1,1
CDMX,21804515,36,1320896,#N/A,0.666666667,0.5,-19.14285714,17.57142857,-30,-16.42857143,-13.42857143,11,-8.404761905,2182.714286,1,1,1
CDMX,21804515,37,18995,#N/A,1,0.5,-19.71428571,16.14285714,-27.71428571,-15.57142857,-12.85714286,10.71428571,-8.166666667,1768.571429,1,1,1
CDMX,21804515,38,58663,#N/A,1,0.666666667,-21.28571429,16.71428571,-26,-20,-21,10.85714286,-10.11904762,1363.714286,1,1,1
CDMX,21804515,39,14966,#N/A,1,0.333333333,-18.42857143,16.85714286,-22.85714286,-13.71428571,-11.28571429,10,-6.571428571,1481,1,0,0
CDMX,21804515,40,10213,#N/A,1,0.166666667,-16.71428571,19,-23,-11.71428571,-10.71428571,9.428571429,-5.619047619,980.7142857,0,0,0
CDMX,21804515,41,46110,#N/A,1,0.333333333,-15.85714286,19.28571429,-21.71428571,-11.57142857,-9.428571429,9.142857143,-5.023809524,767.4285714,0,0,0
CDMX,21804515,42,0,#N/A,1,0,-13.28571429,22,-14.42857143,-9.857142857,-8.142857143,8.285714286,-2.571428571,624.5714286,0,0,0
CDMX,21804515,43,0,#N/A,1,0,-13,22.71428571,-16.28571429,-7.571428571,-8,8.142857143,-2.333333333,533.4285714,0,0,0
CDMX,21804515,44,38511,#N/A,1,0.666666667,-10.85714286,28.57142857,-10.57142857,-3.571428571,-7.714285714,7,0.476190476,443.4285714,0,0,0
CDMX,21804515,45,18120,#N/A,1,0.166666667,-9,27.85714286,6.857142857,-5.571428571,-15,7.857142857,2.166666667,384.1428571,0,0,0
CDMX,21804515,46,8139,#N/A,1,0.166666667,-7.142857143,24.71428571,-15,-2.428571429,-6,7,0.19047619,408,0,0,0
CDMX,21804515,47,0,#N/A,1,0,-5.142857143,26,-14.71428571,-4.857142857,-12,8.142857143,-0.428571429,357.7142857,0,0,0
CDMX,21804515,48,8970,#N/A,1,0.166666667,-8.714285714,24.57142857,-13.28571429,-1.285714286,-5.285714286,7.142857143,0.523809524,360.8571429,0,0,0
CDMX,21804515,49,0,#N/A,1,0,-3,33.14285714,-7.142857143,3.571428571,-4,6.142857143,4.785714286,323.8571429,0,0,0
CDMX,21804515,50,0,#N/A,1,0,-2.714285714,32.42857143,-9.571428571,3.857142857,-0.714285714,5.714285714,4.833333333,292.1428571,0,0,0
CDMX,21804515,51,0,#N/A,0,0,6.857142857,38.14285714,-6.571428571,7.714285714,0.857142857,4.142857143,8.523809524,341,0,0,1
CDMX,21804515,52,0,#N/A,0,0,-1,35.71428571,-12.42857143,-4.428571429,-21.57142857,6,0.380952381,676,0,1,1
CDMX,21804515,53,0,#N/A,0,0,-13.28571429,21.42857143,-20.57142857,-17.71428571,-30.71428571,9,-8.642857143,2283.857143,1,1,1
CDMX,21804515,54,0,#N/A,0,0,-9.428571429,32.57142857,-17.71428571,-7,-10.71428571,9.428571429,-0.476190476,8049.857143,1,1,1
CDMX,21804515,55,33587,#N/A,1,0.5,-17.71428571,24.14285714,-24.57142857,-14,-11,12.57142857,-5.095238095,13908.71429,1,1,1
CDMX,21804515,56,10973151,#N/A,1,0.833333333,-18.28571429,20.57142857,-26.14285714,-17.28571429,-13.85714286,13.28571429,-6.952380952,13257.57143,1,1,1
CDMX,21804515,57,0,#N/A,0,0,-16.28571429,20.71428571,-20.85714286,-15.71428571,-9.714285714,11.71428571,-5.023809524,8662.428571,1,1,1
CDMX,21804515,58,0,#N/A,0,0,-11.14285714,27.14285714,-15.14285714,-8,-5.571428571,9.142857143,-0.595238095,4703.428571,1,1,1
CDMX,21804515,59,0,#N/A,0,0,-12.71428571,22.57142857,-16.57142857,-10.28571429,-10,9.714285714,-2.880952381,2434.428571,1,1,1
CDMX,21804515,60,0,#N/A,0,0,-5.428571429,28.42857143,-11.28571429,-0.857142857,-0.857142857,6.857142857,2.80952381,1761.142857,1,1,1
CDMX,21804515,61,0,#N/A,0,0,-8.428571429,25.28571429,-9.428571429,1.285714286,-0.571428571,6.142857143,2.380952381,1113.142857,1,0,0
CDMX,21804515,62,0,#N/A,0,0,-8,29.14285714,-8.714285714,1.142857143,1.571428571,5.142857143,3.380952381,653.2857143,0,0,0
CDMX,21804515,63,76650,#N/A,1,0.5,-11,23.85714286,-10.14285714,-0.428571429,2.571428571,5.571428571,1.738095238,455.7142857,0,0,0
CDMX,21804515,64,11756,5919,1,0.166666667,-11.57142857,23.71428571,-11.71428571,2.285714286,4,5,1.952380952,344.8571429,0,0,0
CDMX,21804515,65,0,0,1,0,-13.42857143,20.42857143,-9.142857143,-3.285714286,-3.285714286,6,-0.452380952,255.2857143,0,0,0
CDMX,21804515,66,0,0,1,0,-11.57142857,25.71428571,-8.571428571,3,7.571428571,4.428571429,3.428571429,250.7142857,0,0,0
CDMX,21804515,67,0,46968.79,1,0,-11.42857143,24.85714286,-9.428571429,4.714285714,7.285714286,4.142857143,3.357142857,189.4285714,0,0,0
CDMX,21804515,68,0,#N/A,0,0,-15.28571429,19,-5.428571429,-13.28571429,-22.42857143,7.857142857,-4.928571429,134.1428571,0,0,0
CDMX,21804515,69,0,0,1,0,-14.14285714,18,-12.42857143,-0.857142857,-2.428571429,5.714285714,-1.023809524,179.8571429,0,0,0
CDMX,21804515,70,5773,0,1,1,-8.857142857,26,-8.857142857,7.142857143,9.428571429,3.857142857,4.785714286,171,0,0,0
CDMX,21804515,71,4410,2079.1,1,1,-6.857142857,27.71428571,-7.285714286,7,6.714285714,4.428571429,5.285714286,189.5714286,0,0,0
CDMX,21804515,72,0,2095.05,1,0,-5.428571429,28.28571429,-7.714285714,2.571428571,6.857142857,3.571428571,4.69047619,271.5714286,0,0,0
CDMX,21804515,73,0,0,1,0,-8.571428571,27.71428571,-7,5.714285714,10.28571429,3.714285714,5.30952381,388,0,0,0
CDMX,21804515,74,43616,4455.17,1,1,-10.14285714,24.42857143,-11,4,10.14285714,4,3.571428571,618.7142857,0,0,1
CDMX,21804515,75,8087,9498.23,1,0.666666667,-8.285714286,30.14285714,-8,2.571428571,10.14285714,4.142857143,5.119047619,955,0,1,1
CDMX,21804515,76,20396,3148.94,1,1,-9.714285714,26.14285714,-8.428571429,3.428571429,10.42857143,4.857142857,4.452380952,1626.857143,1,1,1
CDMX,21804515,77,522819,36957.34,0.833333333,0.833333333,-8,28.28571429,-10.42857143,3.571428571,8.142857143,5.285714286,4.476190476,2656,1,1,1
CDMX,21804515,78,17202,2719.38,0.833333333,0.5,-10.28571429,24.57142857,-10.71428571,2,6.285714286,5.857142857,2.952380952,4681.571429,1,0,0
